z	tke_res	tke_sbg	wt_res	wt_sbg	wtke_res	wtke_sbg	temp	u	wu_sbg	wu_res
-1.650000000000e+02	5.417157663032e-04	6.363995635184e-05	3.480712985038e-05	0.000000000000e+00	-8.539221198589e-06	-3.785899149733e-09	1.748088002205e+00	3.544188663363e-02	0.000000000000e+00	-3.357623063494e-05
-1.550000000000e+02	5.511023919098e-04	6.443814345403e-05	3.997164094471e-05	0.000000000000e+00	-8.707181223144e-06	-4.133869691003e-09	1.748207569122e+00	3.540598973632e-02	0.000000000000e+00	-3.476734127617e-05
-1.450000000000e+02	5.604558391497e-04	6.532743282150e-05	4.497285772231e-05	0.000000000000e+00	-8.799205716059e-06	-4.932775965472e-09	1.748308300972e+00	3.542583435774e-02	0.000000000000e+00	-3.630763967521e-05
-1.350000000000e+02	5.704288487323e-04	6.637129990850e-05	4.979338700650e-05	0.000000000000e+00	-8.821790288494e-06	-5.602638797342e-09	1.748386383057e+00	3.530444577336e-02	0.000000000000e+00	-3.769189061131e-05
-1.250000000000e+02	5.799582577311e-04	6.745314749423e-05	5.462763510877e-05	0.000000000000e+00	-8.799009265203e-06	-5.499491084748e-09	1.748437047005e+00	3.527411818504e-02	0.000000000000e+00	-3.921007373719e-05
-1.150000000000e+02	5.866747233085e-04	6.845252937637e-05	5.952291758149e-05	0.000000000000e+00	-8.717240234546e-06	-5.580646611492e-09	1.748464465141e+00	3.511093184352e-02	0.000000000000e+00	-4.039267878397e-05
-1.050000000000e+02	5.906595033593e-04	6.958201265661e-05	6.428977940232e-05	0.000000000000e+00	-8.544771844754e-06	-6.824803389094e-09	1.748476982117e+00	3.516119346023e-02	0.000000000000e+00	-4.176008587820e-05
-9.500000000000e+01	5.940003902651e-04	7.100651419023e-05	6.898766878294e-05	0.000000000000e+00	-8.295352927234e-06	-8.299426035308e-09	1.748467922211e+00	3.511648252606e-02	0.000000000000e+00	-4.266052928870e-05
-8.500000000000e+01	5.962757859379e-04	7.265347085195e-05	7.378734153463e-05	0.000000000000e+00	-7.903744517535e-06	-9.744310247584e-09	1.748426675797e+00	3.539481759071e-02	0.000000000000e+00	-4.401892874739e-05
-7.500000000000e+01	5.963525618427e-04	7.462076609954e-05	7.870383706177e-05	0.000000000000e+00	-7.366503268713e-06	-1.264046289862e-08	1.748347043991e+00	3.558138385415e-02	0.000000000000e+00	-4.463689765544e-05
-6.500000000000e+01	5.935733206570e-04	7.726291369181e-05	8.370926661883e-05	0.000000000000e+00	-6.669877620880e-06	-1.748987621397e-08	1.748207449913e+00	3.636611253023e-02	0.000000000000e+00	-4.585948772728e-05
-5.500000000000e+01	5.907092709094e-04	8.085168519756e-05	8.885776333045e-05	0.000000000000e+00	-5.812175004394e-06	-2.487671935114e-08	1.747985720634e+00	3.699311241508e-02	0.000000000000e+00	-4.701173747890e-05
-4.500000000000e+01	5.851553869434e-04	8.594229439041e-05	9.409320773557e-05	0.000000000000e+00	-4.772062766278e-06	-4.005376297300e-08	1.747650623322e+00	3.864939883351e-02	0.000000000000e+00	-4.734969115816e-05
-3.500000000000e+01	5.789237329736e-04	9.456626867177e-05	9.917265560944e-05	0.000000000000e+00	-3.583582611100e-06	-7.916200672753e-08	1.747101426125e+00	4.022694006562e-02	0.000000000000e+00	-4.802560215467e-05
-2.500000000000e+01	5.747406976297e-04	1.128848016378e-04	1.047145997290e-04	0.000000000000e+00	-2.226472133771e-06	-1.914098390898e-07	1.746021747589e+00	4.395494610071e-02	0.000000000000e+00	-4.870151315117e-05
-1.500000000000e+01	5.939954426140e-04	1.573602057761e-04	1.067194170901e-04	0.000000000000e+00	-9.438421670893e-07	-4.247210654285e-07	1.742788672447e+00	4.797662049532e-02	0.000000000000e+00	-4.937742414768e-05
-5.000000000000e+00	6.510609528050e-04	2.350512950215e-04	1.122613684856e-04	0.000000000000e+00	-1.008088688081e-07	-2.871485094147e-07	1.732960820198e+00	5.826966091990e-02	0.000000000000e+00	-5.005333514418e-05
